trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
245,False,"{'a': 0.5, 'e': 0.11809239896111295}",25,13,24.98114477272323,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.5, 'e': 0.1148843729763463}",20,9,21.27363636183795,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.5, 'e': 0.11171485823335348}",20,13,13.431898511182421,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.5, 'e': 0.10858417168096735}",25,8,-23.632672073957615,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
249,False,"{'a': 0.5, 'e': 0.10549262638523443}",25,15,5.872596731423496,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
250,False,"{'a': 0.5, 'e': 0.10244053149810783}",30,13,7.410707677544665,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
251,False,"{'a': 0.5, 'e': 0.09942819222653315}",25,13,9.454401990543234,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
252,False,"{'a': 0.5, 'e': 0.09645590980192692}",30,21,17.939565936325724,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.5, 'e': 0.09352398145005503}",20,14,12.632153098076556,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.5, 'e': 0.09063270036130905}",20,3,13.580662867388984,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.5, 'e': 0.08778235566138887}",20,12,14.094569090650602,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.5, 'e': 0.0849732323823888}",30,15,15.663109911214665,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
257,False,"{'a': 0.5, 'e': 0.08220561143429617}",20,10,20.069442692041747,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.5, 'e': 0.07947976957689928}",20,14,3.803956530525568,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.5, 'e': 0.07679597939211219}",25,18,17.308434341971726,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.5, 'e': 0.07415450925671718}",20,11,13.619393744227517,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.5, 'e': 0.07155562331552634}",20,14,11.100141007394619,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.5, 'e': 0.06899958145496826}",20,12,-6.129727253857686,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
263,False,"{'a': 0.5, 'e': 0.0664866392770988}",30,19,9.57814510630156,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
264,False,"{'a': 0.5, 'e': 0.06401704807404174}",20,13,-0.39863040229910585,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
265,False,"{'a': 0.5, 'e': 0.06159105480285926}",25,14,20.778878092849705,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.5, 'e': 0.05920890206085705}",25,11,14.443749392084138,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
267,False,"{'a': 0.5, 'e': 0.056870828061323986}",25,10,26.210866348849734,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.5, 'e': 0.05457706660971179}",20,11,19.338052856779694,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.5, 'e': 0.05232784708025395}",25,14,23.22754015740975,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.5, 'e': 0.05012339439302932}",25,16,18.277445133836245,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.5, 'e': 0.047963928991469396}",25,15,10.255928840547178,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
